,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,maximum_minimum_nights,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,booking_ratio,total_amenities
5,within an hour,100,100,t,t,t,Fort Greene,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,2.0,205.0,2,1125,2.0,4.89,4.89,4.96,4.93,4.95,4.82,t,0.410958904109589,51
18,within an hour,100,100,t,t,t,East Village,Private room in condo,Private room,1,1.0,1 shared bath,1.0,1.0,170.0,1,40,2.0,4.8,4.77,4.79,4.79,4.73,4.69,f,0.6191780821917808,39
39,within an hour,100,100,t,t,t,Clinton Hill,Private room in condo,Private room,2,1.0,1 shared bath,1.0,1.0,152.0,3,60,3.0,4.95,4.94,4.99,4.98,4.87,4.92,t,0.6493150684931507,58
43,within an hour,100,100,t,t,t,Clinton Hill,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,127.0,2,365,2.0,4.54,4.46,4.77,4.76,4.75,4.6,t,0.1616438356164383,32
49,within a few hours,100,50,f,t,t,Boerum Hill,Private room in home,Private room,2,2.5,2.5 baths,5.0,5.0,900.0,3,60,3.0,4.7,4.52,4.88,4.88,4.86,4.62,f,0.0301369863013698,69
50,within an hour,100,99,t,t,t,Harlem,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,215.0,3,1125,3.0,4.85,4.48,4.96,4.96,4.79,4.82,f,0.6575342465753424,51
66,within an hour,100,100,t,t,t,Park Slope,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,100.0,30,1125,30.0,4.72,4.55,4.82,4.85,4.81,4.64,f,0.2794520547945205,33
74,within an hour,100,100,t,t,t,Park Slope,Private room in guest suite,Private room,2,1.5,1.5 shared baths,1.0,1.0,96.0,3,1125,3.0,4.77,4.64,4.94,4.91,4.95,4.83,f,0.3315068493150685,34
120,within an hour,94,100,f,t,t,Greenpoint,Room in boutique hotel,Hotel room,2,1.0,1 private bath,1.0,1.0,399.0,1,365,1.0,4.86,4.94,4.97,4.85,4.56,4.71,f,0.5863013698630137,26
130,within an hour,94,100,f,t,t,Greenpoint,Room in boutique hotel,Hotel room,2,1.0,1 private bath,1.0,1.0,399.0,1,365,1.0,4.89,4.94,4.97,4.89,4.86,4.77,f,0.5671232876712329,26
168,within a few hours,100,86,t,t,t,Lower East Side,Private room in rental unit,Private room,2,2.0,2 baths,2.0,2.0,425.0,4,1125,4.0,4.99,4.92,4.97,4.99,4.89,4.93,f,0.5315068493150685,26
170,within an hour,100,67,f,t,t,Astoria,Private room in home,Private room,2,1.0,1 private bath,1.0,3.0,150.0,3,29,3.0,4.85,4.77,4.96,4.97,4.88,4.85,t,0.073972602739726,44
171,within an hour,100,99,t,t,t,Harlem,Private room in guest suite,Private room,3,1.0,1 private bath,1.0,2.0,250.0,3,25,11.0,4.82,4.88,4.85,4.85,4.77,4.78,f,0.1890410958904109,40
185,within an hour,100,100,t,t,t,Fort Greene,Private room in rental unit,Private room,2,1.5,1.5 shared baths,1.0,1.0,98.0,2,28,2.0,4.93,4.93,4.93,4.97,4.95,4.9,t,0.4356164383561643,47
223,within an hour,100,100,t,t,t,Chinatown,Private room in rental unit,Private room,2,2.0,2 baths,1.0,1.0,215.0,5,1125,5.0,4.96,4.89,4.96,4.99,4.91,4.81,f,0.1698630136986301,81
251,within a day,90,83,f,t,t,Bedford-Stuyvesant,Private room in townhouse,Private room,2,1.0,1 private bath,1.0,2.0,185.0,2,30,2.0,4.62,4.57,4.83,4.76,4.53,4.59,f,0.0931506849315068,28
